a	a	art_def
amistosa	amistoso	adj
amistosamente	amistosamente	adv
amistosas	amistoso	adj
amistoso	amistoso	adj
amistosos	amistoso	adj
amiudadas	amiudar	ver
amiudados	amiudar	ver
amiudaram	amiudar	ver
amizade	amizade	nom
amizades	amizade	nom
amiúde	amiúde	adv
amnesia	amnesiar	ver
amnesie	amnesiar	ver
amnesio	amnesiar	ver
amniocentese	amniocentese	nom
amnistia	amnistia	nom
amnistias	amnistia	nom
amniótica	amniótico	adj
amniótico	amniótico	adj
amnióticos	amniótico	adj
amnésia	amnésia	nom
amnésias	amnésia	nom
amnésica	amnésico	adj
amnésicas	amnésico	adj
amnésico	amnésico	adj
amnésicos	amnésico	adj
amo	amar	ver
amocais	amocar	ver
amocar	amocar	ver
amoco	amocar	ver
amodele	amodelar	ver
amoedado	amoedar	ver
amoedo	amoedar	ver
amofina	amofinar	ver
amofinar	amofinar	ver
amola	amolar	ver
amolada	amolado	adj
amoladas	amolado	adj
amolador	amolador	nom
amoladores	amolador	nom
amolando	amolar	ver
amolar	amolar	ver
amolação	amolação	nom
amolda	amoldar	ver
amoldado	amoldar	ver
amoldados	amoldado	adj
amoldando	amoldar	ver
amoldar	amoldar	ver
amoldem	amoldar	ver
amoldo	amoldar	ver
amole	amolar	ver
amolece	amolecer	ver
amolecem	amolecer	ver
amolecendo	amolecer	ver
amolecer	amolecer	ver
amolecerem	amolecer	ver
amoleceu	amolecer	ver
amolecida	amolecido	adj
amolecidas	amolecido	adj
amolecido	amolecer	ver
amolecidos	amolecer	ver
amolecimento	amolecimento	nom
amolem	amolar	ver
amoles	amolar	ver
amoleçam	amolecer	ver
amolgada	amolgar	ver
amolo	amolar	ver
amon	amon	nom
amoniacais	amoniacal	adj
amoniacal	amoniacal	adj
amontada	amontar	ver
amontado	amontar	ver
amontar	amontar	ver
amonte	amontar	ver
amontoa	amontoar	ver
amontoada	amontoar	ver
amontoadas	amontoado	adj
amontoado	amontoado	nom
amontoados	amontoar	ver
amontoam	amontoar	ver
amontoamento	amontoamento	nom
amontoamentos	amontoamento	nom
amontoando	amontoar	ver
amontoar	amontoar	ver
amontoaram	amontoar	ver
amontoava	amontoar	ver
amontoavam	amontoar	ver
amontoem	amontoar	ver
amontoou	amontoar	ver
amoníaco	amoníaco	nom
amor	amor	nom
amora	amora	nom
amorais	amoral	adj
amoral	amoral	adj
amoralidade	amoralidade	nom
amoralismo	amoralismo	nom
amoras	amora	nom
amordaçada	amordaçar	ver
amordaçadas	amordaçar	ver
amordaçado	amordaçar	ver
amordaçados	amordaçar	ver
amordaçando	amordaçar	ver
amordaçar	amordaçar	ver
amordaçaram	amordaçar	ver
amordaçou	amordaçar	ver
amore	amorar	ver
amoreira	amoreira	nom
amoreiras	amoreira	nom
amoreirense	amoreirense	adj
amorem	amorar	ver
amorena	amorenar	ver
amorenada	amorenar	ver
amorenado	amorenar	ver
amores	amor	nom
amorfa	amorfo	adj
amorfas	amorfo	adj
amorfo	amorfo	adj
amorfos	amorfo	adj
amorim	amorim	nom
amorita	amora	nom
amornado	amornar	ver
amoro	amorar	ver
amorosa	amoroso	adj
amorosamente	amorosamente	adv
amorosas	amoroso	adj
amoroso	amoroso	adj
amorosos	amoroso	adj
amortalhado	amortalhar	ver
amortece	amortecer	ver
amortecedor	amortecedor	nom
amortecedora	amortecedor	adj
amortecedores	amortecedor	nom
amortecem	amortecer	ver
amortecendo	amortecer	ver
amortecer	amortecer	ver
amortecia	amortecer	ver
amortecida	amortecer	ver
amortecidas	amortecido	adj
amortecido	amortecido	adj
amortecidos	amortecido	adj
amortecimento	amortecimento	nom
amortecimentos	amortecimento	nom
amortiza	amortizar	ver
amortizada	amortizar	ver
amortizadas	amortizar	ver
amortizado	amortizar	ver
amortizados	amortizar	ver
amortizando	amortizar	ver
amortizar	amortizar	ver
amortização	amortização	nom
amortizações	amortização	nom
amorzinho	amor	nom
amos	amo	nom
amostra	amostra	nom
amostrada	amostrar	ver
amostradas	amostrar	ver
amostrado	mostrar	ver
amostrados	amostrar	ver
amostragem	amostragem	nom
amostragens	amostragem	nom
amostrais	amostrar	ver
amostram	amostrar	ver
amostrando	amostrar	ver
amostrar	mostrar	ver
amostras	amostra	nom
amostrava	amostrar	ver
amostre	amostrar	ver
amostrinha	amostra	nom
amostro	amostrar	ver
amostrou	amostrar	ver
amota	amotar	ver
amote	amotar	ver
amotina	amotinar	ver
amotinada	amotinado	adj
amotinadas	amotinado	adj
amotinado	amotinado	adj
amotinadores	amotinador	nom
amotinados	amotinado	nom
amotinam	amotinar	ver
amotinamento	amotinamento	nom
amotinar	amotinar	ver
amotinaram	amotinar	ver
amotinassem	amotinar	ver
amotinavam	amotinar	ver
amotinação	amotinação	nom
amotinou	amotinar	ver
amoto	amotar	ver
amou	amar	ver
amouro	amourar	ver
amovíveis	amovível	adj
amovível	amovível	adj
ampara	amparar	ver
amparada	amparar	ver
amparadas	amparar	ver
amparado	amparar	ver
amparados	amparar	ver
amparam	amparar	ver
amparando	amparar	ver
amparar	amparar	ver
ampararam	amparar	ver
amparasse	amparar	ver
amparava	amparar	ver
amparavam	amparar	ver
ampare	amparar	ver
amparense	amparense	adj
amparenses	amparense	adj
amparo	amparo	nom
amparos	amparo	nom
amparou	amparar	ver
amperagem	amperagem	nom
ampere	ampere	nom
amperes	ampere	nom
ampersand	ampersand	nom
amperímetro	amperímetro	nom
amperímetros	amperímetro	nom
ampla	amplo	adj
amplamente	amplamente	adv
amplas	amplo	adj
amplexicaule	amplexicaule	adj
amplexicaules	amplexicaule	adj
amplexo	amplexo	nom
amplexos	amplexo	nom
amplia	ampliar	ver
ampliada	ampliado	adj
ampliadas	ampliado	adj
ampliado	ampliar	ver
ampliador	ampliador	nom
ampliadores	ampliador	nom
ampliados	ampliado	adj
ampliam	ampliar	ver
ampliamos	ampliar	ver
ampliando	ampliar	ver
ampliar	ampliar	ver
ampliara	ampliar	ver
ampliaram	ampliar	ver
ampliarei	ampliar	ver
ampliarem	ampliar	ver
ampliaria	ampliar	ver
ampliariam	ampliar	ver
ampliarmos	ampliar	ver
ampliará	ampliar	ver
ampliarão	ampliar	ver
amplias	ampliar	ver
ampliasse	ampliar	ver
ampliassem	ampliar	ver
ampliava	ampliar	ver
ampliavam	ampliar	ver
ampliação	ampliação	nom
ampliações	ampliação	nom
amplidão	amplidão	nom
amplidões	amplidão	nom
amplie	ampliar	ver
ampliei	ampliar	ver
ampliem	ampliar	ver
ampliemos	ampliar	ver
amplifica	amplificar	ver
amplificada	amplificar	ver
amplificadas	amplificar	ver
amplificado	amplificar	ver
amplificador	amplificador	nom
amplificadora	amplificador	adj
amplificadoras	amplificador	adj
amplificadores	amplificador	nom
amplificados	amplificar	ver
amplificam	amplificar	ver
amplificando	amplificar	ver
amplificar	amplificar	ver
amplificaram	amplificar	ver
amplificaria	amplificar	ver
amplificação	amplificação	nom
amplificações	amplificação	nom
amplificou	amplificar	ver
amplio	ampliar	ver
ampliou	ampliar	ver
amplitude	amplitude	nom
amplitudes	amplitude	nom
ampliáveis	ampliar	ver
ampliável	ampliável	adj
amplo	amplo	adj
amplos	amplo	adj
amplíssima	amplo	adj
amplíssimas	amplo	adj
amplíssimo	amplo	adj
ampola	ampola	nom
ampolas	ampola	nom
ampulheta	ampulheta	nom
ampulhetas	ampulheta	nom
amputa	amputar	ver
amputada	amputado	adj
amputadas	amputado	adj
amputado	amputado	adj
amputados	amputado	adj
amputando	amputar	ver
amputar	amputar	ver
amputaram	amputar	ver
amputarem	amputar	ver
amputaria	amputar	ver
amputava	amputar	ver
amputavam	amputar	ver
amputação	amputação	nom
amputações	amputação	nom
ampute	amputar	ver
amputou	amputar	ver
amsterdã	amsterdã	nom
amua	amuar	ver
amuado	amuado	adj
amuados	amuado	adj
amuar	amuar	ver
amue	amuar	ver
amuei	amuar	ver
amulatado	amulatar	ver
amuleto	amuleto	nom
amuletos	amuleto	nom
amuo	amuo	nom
amuos	amuo	nom
amuou	amuar	ver
amura	amurar	ver
amurada	amurar	ver
amuradas	amurada	nom
amurado	amurar	ver
amurados	amurar	ver
amuralhada	amuralhar	ver
amuralhadas	amuralhar	ver
amuralhado	amuralhar	ver
amuralhados	amuralhar	ver
amuras	amurar	ver
amure	amurar	ver
amures	amurar	ver
amuro	amurar	ver
amurou	amurar	ver
amyr	amyr	nom
amálgama	amálgama	nom
amálgamas	amálgama	nom
amália	amália	nom
amámos	amar	ver
amásia	amásio	nom
amávamos	amar	ver
amáveis	amável	adj
amável	amável	adj
amância	amância	nom
amâncio	amâncio	nom
amã	amã	nom
amélia	amélia	nom
amélio	amélio	nom
amém	amém	nom
améns	amém	nom
américa	américa	nom
américas	américa	nom
américo	américo	nom
amêijoa	amêijoa	nom
amêijoas	amêijoa	nom
amêndoa	amêndoa	nom
amêndoas	amêndoa	nom
amídala	amídala	nom
amídalas	amídala	nom
amígdalas	amígdala	nom
amílcar	amílcar	nom
amónia	amónia	nom
amónio	amónio	nom
amórfico	amórfico	adj
amós	amós	nom
amônia	amônio	nom
amônio	amônio	nom
ana	ana	nom
anabela	anabela	nom
anabolismo	anabolismo	nom
anabólica	anabólico	adj
anabólicas	anabólico	adj
anabólico	anabólico	adj
anabólicos	anabólico	adj
anacardiácea	anacardiáceo	nom
anacardiáceas	anacardiáceo	nom
anacem	anaçar	ver
anaces	anaçar	ver
anacleta	anacleta	nom
anacleto	anacleto	nom
anacoluto	anacoluto	nom
anacolutos	anacoluto	nom
anacondas	anaconda	nom
anacoreta	anacoreta	nom
anacoretas	anacoreta	nom
anacreonte	anacreonte	nom
anacronia	anacronia	nom
anacronicamente	anacronicamente	adv
anacronismo	anacronismo	nom
anacronismos	anacronismo	nom
anacruse	anacruse	nom
anacruses	anacruse	nom
anacrónica	anacrónico	adj
anacrónicas	anacrónico	adj
anacrónico	anacrónico	adj
anacrônica	anacrônico	adj
anacrônicas	anacrônico	adj
anacrônico	anacrônico	adj
anacrônicos	anacrônico	adj
anactória	anactória	nom
anactório	anactório	nom
anadiense	anadiense	adj
anaerobiose	anaerobiose	nom
anaeróbia	anaeróbio	adj
anaeróbias	anaeróbio	adj
anaeróbica	anaeróbico	adj
anaeróbicas	anaeróbico	adj
anaeróbico	anaeróbico	adj
anaeróbicos	anaeróbico	adj
anaeróbio	anaeróbio	adj
anaeróbios	anaeróbio	adj
anafado	anafado	adj
anafe	anafar	ver
anafilaxia	anafilaxia	nom
anafilática	anafilático	adj
anafiláticas	anafilático	adj
anafilático	anafilático	adj
anafiláticos	anafilático	adj
anafórica	anafórico	adj
anafórico	anafórico	adj
anafóricos	anafórico	adj
anagrama	anagrama	nom
anagramas	anagrama	nom
anagramático	anagramático	adj
anahí	anahí	nom
anais	anal	nom
anajá	anajá	adj
anajás	anajá	adj
anal	anal	adj
analandense	analandense	adj
analema	analema	nom
analemas	analema	nom
analfabeta	analfabeto	adj
analfabetas	analfabeto	adj
analfabetismo	analfabetismo	nom
analfabeto	analfabeto	adj
analfabetos	analfabeto	nom
analgesia	analgesia	nom
analgésica	analgésico	adj
analgésicas	analgésico	adj
analgésico	analgésico	adj
analgésicos	analgésico	nom
analisa	analisar	ver
analisada	analisar	ver
analisadas	analisado	adj
analisado	analisar	ver
analisador	analisador	nom
analisadora	analisador	adj
analisadores	analisador	nom
analisados	analisado	adj
analisam	analisar	ver
analisamos	analisar	ver
analisando	analisar	ver
analisar	analisar	ver
analisara	analisar	ver
analisaram	analisar	ver
analisarei	analisar	ver
analisarem	analisar	ver
analisaremos	analisar	ver
analisaria	analisar	ver
analisariam	analisar	ver
analisarmos	analisar	ver
analisará	analisar	ver
analisarão	analisar	ver
analisasse	analisar	ver
analisassem	analisar	ver
analisasses	analisar	ver
analisava	analisar	ver
analisavam	analisar	ver
analise	analisar	ver
analisei	analisar	ver
analisem	analisar	ver
analisemos	analisar	ver
analises	analisar	ver
analiso	analisar	ver
analisou	analisar	ver
analista	analista	nom
analistas	analista	nom
analisámos	analisar	ver
analisáveis	analisável	adj
analisável	analisável	adj
analiticamente	analiticamente	adv
analiticidade	analiticidade	nom
analogamente	analogamente	adv
analogia	analogia	nom
analogias	analogia	nom
analogicamente	analogicamente	adv
analândia	analândia	nom
analítica	analítico	adj
analíticas	analítico	adj
analítico	analítico	adj
analíticos	analítico	adj
analógica	analógico	adj
analógicas	analógico	adj
analógico	analógico	adj
analógicos	analógico	adj
anamnese	anamnese	nom
anamneses	anamnese	nom
anamorfose	anamorfose	nom
anamorfoses	anamorfose	nom
ananases	ananás	nom
ananias	ananias	nom
ananindeuense	ananindeuense	adj
ananás	ananás	nom
anarquia	anarquia	nom
anarquias	anarquia	nom
anarquicamente	anarquicamente	adv
anarquismo	anarquismo	nom
anarquismos	anarquismo	nom
anarquista	anarquista	adj
anarquistas	anarquista	nom
anarquizado	anarquizado	adj
anarquizar	anarquizar	ver
anastilose	anastilose	nom
anastomosa	anastomosar	ver
anastomosado	anastomosado	adj
anastomosados	anastomosado	adj
anastomosam	anastomosar	ver
anastomosando	anastomosar	ver
anastomosar	anastomosar	ver
anastomose	anastomose	nom
anastomoses	anastomose	nom
anastácia	anastácia	nom
anastácio	anastácio	nom
anastásia	anastásia	nom
anastásio	anastásio	nom
anata	anatar	ver
anataria	anatar	ver
anatas	anatar	ver
anate	anatar	ver
anatematizada	anatematizar	ver
anatematizado	anatematizar	ver
anatematizaram	anatematizar	ver
anato	anatar	ver
anatomia	anatomia	nom
anatomias	anatomia	nom
anatomicamente	anatomicamente	adv
anatomista	anatomista	nom
anatomistas	anatomista	nom
anatomize	anatomizar	ver
anatoxina	anatoxina	nom
anatídeo	anatídeo	adj
anatídeos	anatídeo	nom
anatólia	anatólia	nom
anatólica	anatólico	adj
anatólico	anatólico	adj
anatólio	anatólio	nom
anatómica	anatómico	adj
anatómicas	anatómico	adj
anatómico	anatómico	adj
anatómicos	anatómico	adj
anatômica	anatômico	adj
anatômicas	anatômico	adj
anatômico	anatômico	adj
anatômicos	anatômico	adj
anaximandro	anaximandro	nom
anaxágoras	anaxágoras	nom
anaxímenes	anaxímenes	nom
anca	anca	adj
ancara	ancara	nom
ancas	anca	nom
ancelotti	ancelotti	nom
ancestrais	ancestral	adj
ancestral	ancestral	adj
ancestralidade	ancestralidade	nom
ancestralidades	ancestralidade	nom
ancestralmente	ancestralmente	adv
anchieta	anchieta	nom
anchietense	anchietense	adj
anchova	anchova	nom
anchovas	anchova	nom
ancia	ancião	nom
anciedade	ansiedade	nom
ancilose	ancilosar	ver
ancilostomose	ancilostomose	nom
ancilostomíase	ancilostomíase	nom
ancilóstomo	ancilóstomo	nom
ancinho	ancinho	nom
anciã	ancião	nom
anciães	ancião	adj
ancião	ancião	nom
anciãos	ancião	nom
anciãs	ancião	adj
anciões	ancião	nom
ancora	ancorar	ver
ancorada	ancorar	ver
ancoradas	ancorar	ver
ancorado	ancorar	ver
ancoradoiro	ancoradoiro	nom
ancorados	ancorar	ver
ancoradouro	ancoradouro	nom
ancoradouros	ancoradouro	nom
ancoragem	ancoragem	nom
ancoragens	ancoragem	nom
ancoram	ancorar	ver
ancoramos	ancorar	ver
ancorando	ancorar	ver
ancorar	ancorar	ver
ancorara	ancorar	ver
ancoraram	ancorar	ver
ancorarem	ancorar	ver
ancoras	ancorar	ver
ancorasse	ancorar	ver
ancorassem	ancorar	ver
ancorava	ancorar	ver
ancoravam	ancorar	ver
ancore	ancorar	ver
ancorou	ancorar	ver
ancôneo	ancôneo	nom
anda	andar	ver
andada	andar	ver
andadas	andar	ver
andado	andar	ver
andador	andador	nom
andadores	andador	adj
andados	andar	ver
andadura	andadura	nom
andai	andar	ver
andaime	andaime	nom
andaimes	andaime	nom
andais	andar	ver
andaluz	andaluz	adj
andaluza	andaluz	adj
andaluzas	andaluz	adj
andaluzes	andaluz	nom
andaluzia	andaluzia	nom
andam	andar	ver
andamento	andamento	nom
andamentos	andamento	nom
andamos	andar	ver
andando	andar	ver
andante	andante	adj
andantes	andante	adj
andantino	andantino	nom
andança	andança	nom
andanças	andança	nom
andar	andar	nom
andara	andar	ver
andaraiense	andaraiense	adj
andaram	andar	ver
andaras	andar	ver
andaraí	andaraí	nom
andarei	andar	ver
andarem	andar	ver
andaremos	andar	ver
andares	andar	nom
andaria	andar	ver
andariam	andar	ver
andarilho	andarilho	nom
andarilhos	andarilho	nom
andarivel	andarivel	nom
andarmos	andar	ver
andará	andar	ver
andarás	andar	ver
andarão	andar	ver
andas	andar	ver
andasse	andar	ver
andassem	andar	ver
andaste	andar	ver
andava	andar	ver
andavam	andar	ver
andavas	andar	ver
ande	andar	ver
andebol	andebol	nom
andebolista	andebolista	nom
andei	andar	ver
andeis	andar	ver
andejo	andejo	adj
andem	andar	ver
andemos	andar	ver
andersen	andersen	nom
andersom	andersom	nom
anderson	anderson	nom
andes	ande	nom
andima	andima	nom
andina	andino	adj
andinas	andino	adj
andino	andino	adj
andinos	andino	adj
ando	andar	ver
andoa	andoar	ver
andoas	andoar	ver
andor	andor	nom
andores	andor	nom
andorinha	andorinha	nom
andorinhas	andorinha	nom
andorinhão	andorinha	nom
andorinhões	andorinha	nom
andorra	andorra	nom
andorrense	andorrense	adj
andou	andar	ver
andrada	andrada	nom
andradas	andradas	nom
andrade	andrade	nom
andradense	andradense	adj
andradina	andradina	nom
andradinense	andradinense	adj
andradinenses	andradinense	adj
andrajos	andrajos	nom
andrajosas	andrajoso	adj
andrajoso	andrajoso	adj
andrajosos	andrajoso	adj
andreatta	andreatta	nom
andreazza	andreazza	nom
andreense	andreense	adj
andreenses	andreense	adj
andrei	andrei	nom
andrelandense	andrelandense	adj
andrelandenses	andrelandense	adj
andreoli	andreoli	nom
andresa	andresa	nom
andretti	andretti	nom
andrew	andrew	nom
andrews	andrews	nom
andriani	andriani	nom
androceu	androceu	nom
androfobia	androfobia	nom
androgenia	androgenia	nom
androginia	androginia	nom
androginóforo	androginóforo	nom
androgênio	androgênio	nom
androgênios	androgênio	nom
andrologia	andrologia	nom
andrológica	andrológico	adj
andrológico	andrológico	adj
andropausa	andropausa	nom
androsterona	androsterona	nom
andré	andré	nom
andréa	andréa	nom
andréas	andréas	nom
andréia	andréia	nom
andrés	andré	nom
andróforo	andróforo	nom
andrógena	andrógeno	adj
andrógenas	andrógeno	adj
andrógeno	andrógeno	adj
andrógenos	andrógeno	adj
andrógina	andrógino	adj
andróginas	andrógino	adj
andrógino	andrógino	adj
andróginos	andrógino	nom
andróide	andróide	nom
andróides	andróide	nom
andrômaca	andrômaca	nom
andrômeda	andrômeda	nom
andu	andu	nom
andy	andy	nom
andámos	andar	ver
andávamos	andar	ver
anedota	anedota	nom
anedotas	anedota	nom
anedotário	anedotário	nom
anedótica	anedótico	adj
anedóticas	anedótico	adj
anedótico	anedótico	adj
anedóticos	anedótico	adj
anega	anegar	ver
anegada	anegar	ver
anego	anegar	ver
anegrada	anegrar	ver
anegradas	anegrar	ver
anegrado	anegrar	ver
anel	anel	nom
anela	anelar	ver
anelada	anelado	adj
aneladas	anelado	adj
anelado	anelado	adj
anelados	anelado	adj
anelante	anelante	adj
anelar	anelar	adj
anelares	anelar	nom
anelas	anelar	ver
anelação	anelação	nom
anele	anelar	ver
anelem	anelar	ver
aneles	anelar	ver
anelito	anel	nom
anelo	anelo	nom
anelos	anelo	nom
anelídeo	anelídeo	adj
anelídeos	anelídeo	nom
anemia	anemia	nom
anemias	anemiar	ver
anemie	anemiar	ver
anemio	anemiar	ver
anemocoria	anemocoria	nom
anemogamia	anemogamia	nom
anemometria	anemometria	nom
anemométrico	anemométrico	adj
anemófila	anemófilo	adj
anemófilas	anemófilo	adj
anemófilos	anemófilo	adj
anemômetro	anemômetro	nom
anemômetros	anemômetro	nom
aneróide	aneróide	adj
aneróides	aneróide	adj
anestesia	anestesia	nom
anestesiada	anestesiar	ver
anestesiadas	anestesiar	ver
anestesiado	anestesiar	ver
anestesiados	anestesiar	ver
anestesiam	anestesiar	ver
anestesiando	anestesiar	ver
anestesiante	anestesiante	adj
anestesiar	anestesiar	ver
anestesias	anestesia	nom
anestesiologia	anestesiologia	nom
anestesiou	anestesiar	ver
anestesista	anestesista	nom
anestesistas	anestesista	nom
anestésica	anestésico	adj
anestésicas	anestésico	adj
anestésico	anestésico	adj
anestésicos	anestésico	adj
anete	anete	nom
aneurisma	aneurisma	nom
aneurismas	aneurisma	nom
aneurismática	aneurismático	adj
aneurismático	aneurismático	adj
anexa	anexar	ver
anexada	anexar	ver
anexadas	anexar	ver
anexado	anexar	ver
anexados	anexar	ver
anexam	anexar	ver
anexando	anexar	ver
anexar	anexar	ver
anexara	anexar	ver
anexaram	anexar	ver
anexarem	anexar	ver
anexaria	anexar	ver
anexariam	anexar	ver
anexas	anexo	adj
anexasse	anexar	ver
anexava	anexar	ver
anexavam	anexar	ver
anexação	anexação	nom
anexações	anexação	nom
anexe	anexar	ver
anexei	anexar	ver
anexem	anexar	ver
anexins	anexim	nom
anexo	anexo	adj
anexos	anexo	nom
anexou	anexar	ver
anfetamina	anfetamina	nom
anfetaminas	anfetamina	nom
anfibolito	anfibolito	nom
anfibolitos	anfibolito	nom
anfibologia	anfibologia	nom
anfibólio	anfibólio	nom
anfibólios	anfibólio	nom
anfifílica	anfifílico	adj
anfifílicas	anfifílico	adj
anfifílico	anfifílico	adj
anfioxo	anfioxo	adj
anfioxos	anfioxo	nom
anfiprótico	anfiprótico	adj
anfipática	anfipático	adj
anfipáticas	anfipático	adj
anfipático	anfipático	adj
anfipáticos	anfipático	adj
anfiteatro	anfiteatro	nom
anfiteatros	anfiteatro	nom
anfitrioa	anfitrião	nom
anfitriã	anfitrião	nom
anfitrião	anfitrião	nom
anfitriãs	anfitrião	nom
anfitriões	anfitrião	nom
anfractuosa	anfractuoso	adj
anfractuosidades	anfractuosidade	nom
anfractuoso	anfractuoso	adj
anfíbia	anfíbio	adj
anfíbias	anfíbio	adj
anfíbio	anfíbio	nom
anfíbios	anfíbio	nom
angaria	angariar	ver
angariada	angariar	ver
angariadas	angariar	ver
angariado	angariar	ver
angariador	angariador	nom
angariadores	angariador	nom
angariados	angariar	ver
angariam	angariar	ver
angariando	angariar	ver
angariar	angariar	ver
angariara	angariar	ver
angariaram	angariar	ver
angariarem	angariar	ver
angariasse	angariar	ver
angariava	angariar	ver
angariavam	angariar	ver
angariação	angariação	nom
angariações	angariação	nom
angariei	angariar	ver
angario	angariar	ver
angariou	angariar	ver
angatuba	angatuba	nom
angel	angel	nom
angeles	angeles	nom
angelicais	angelical	adj
angelical	angelical	adj
angelim	angelim	nom
angelina	angelina	nom
angelinense	angelinense	adj
angelino	angelino	nom
angelis	angelis	nom
angell	angell	nom
angelotti	angelotti	nom
angenor	angenor	nom
angico	angico	nom
angicos	angico	nom
angina	angina	nom
anginas	angina	nom
angiografia	angiografia	nom
angiográfico	angiográfico	adj
angiologia	angiologia	nom
angioma	angioma	nom
angiomas	angioma	nom
angiopatia	angiopatia	nom
angioplastia	angioplastia	nom
angiosperma	angiosperma	nom
angiospermas	angiosperma	nom
angiospermia	angiospermia	nom
angiospérmica	angiospérmico	adj
angiospérmicas	angiospérmico	nom
angla	anglo	adj
anglas	anglo	nom
anglicana	anglicano	adj
anglicanas	anglicano	adj
anglicanismo	anglicanismo	nom
anglicano	anglicano	adj
anglicanos	anglicano	adj
anglicismo	anglicismo	nom
anglicismos	anglicismo	nom
anglicizada	anglicizar	ver
anglicizadas	anglicizar	ver
anglicizado	anglicizar	ver
anglicizados	anglicizar	ver
anglicizar	anglicizar	ver
anglicizou	anglicizar	ver
anglo	anglo	adj
anglofilia	anglofilia	nom
anglofobia	anglofobia	nom
anglomania	anglomania	nom
anglos	anglo	nom
anglófona	anglófono	adj
anglófonas	anglófono	adj
anglófono	anglófono	adj
anglófonos	anglófono	adj
angola	angola	nom
angolana	angolano	adj
angolanas	angolano	adj
angolano	angolano	adj
angolanos	angolano	adj
angolas	angola	adj
angolense	angolense	nom
angolinhas	angola	nom
angorá	angorá	adj
angra	angra	nom
angras	angra	nom
angrense	angrense	adj
angrenses	angrense	adj
angu	angu	nom
angula	angular	ver
angulada	angular	ver
anguladas	angular	ver
angulado	angular	ver
angulados	angular	ver
angular	angular	adj
angulares	angular	adj
angularia	angular	ver
angularmente	angularmente	adv
angulas	angular	ver
angulação	angulação	nom
angulações	angulação	nom
angulo	angular	ver
angulosa	anguloso	adj
angulosas	anguloso	adj
anguloso	anguloso	adj
angulosos	anguloso	adj
angus	angu	nom
angustia	angustiar	ver
angustiada	angustiado	adj
angustiadas	angustiado	adj
angustiado	angustiado	adj
angustiados	angustiado	adj
angustiam	angustiar	ver
angustiante	angustiante	adj
angustiantes	angustiante	adj
angustiar	angustiar	ver
angustias	angustiar	ver
angustiava	angustiar	ver
angustiavam	angustiar	ver
angustie	angustiar	ver
angustio	angustiar	ver
angustiosa	angustioso	adj
angustiosas	angustioso	adj
angustioso	angustioso	adj
angustiosos	angustioso	adj
angustiou	angustiar	ver
angélica	angélica	nom
angélicas	angélico	adj
angélico	angélico	adj
angélicos	angélico	adj
angústia	angústia	nom
angústias	angústia	nom
anhaia	anhaia	nom
anhangabaú	anhangabaú	nom
anhanguera	anhanguera	adj
anhangá	anhangá	nom
anhangüera	anhangüera	nom
anhembi	anhembi	nom
anho	anho	nom
anhos	anho	nom
anhuma	anhuma	nom
anhumas	anhuma	nom
aniagem	aniagem	nom
aniagens	aniagem	nom
aniceto	aniceto	nom
anicetu	anicetu	nom
anicha	anichar	ver
anichada	anichar	ver
anichadas	anichar	ver
anichado	anichar	ver
aniche	anichar	ver
anicuense	anicuense	adj
anidra	anidro	adj
anidras	anidro	adj
anidrido	anidrido	nom
anidridos	anidrido	nom
anidro	anidro	adj
anidrobiose	anidrobiose	nom
anidros	anidro	adj
anidrose	anidrose	nom
aniela	anielar	ver
anil	anil	nom
anila	anilar	ver
anilada	anilar	ver
anilado	anilar	ver
anilai	anilar	ver
anilas	anilar	ver
anile	anilar	ver
anileira	anileira	nom
anilha	anilha	nom
anilhada	anilhar	ver
anilhadas	anilhar	ver
anilhado	anilhar	ver
anilhas	anilha	nom
anilina	anilina	nom
anilinas	anilina	nom
aniline	anilinar	ver
anilines	anilinar	ver
anilino	anilinar	ver
anilo	anilar	ver
anima	animar	ver
animada	animado	adj
animadamente	animadamente	adv
animadas	animado	adj
animado	animado	adj
animador	animador	nom
animadora	animador	nom
animadoras	animador	adj
animadores	animador	nom
animados	animado	adj
animadversão	animadversão	nom
animadíssima	animado	adj
animadíssimas	animado	adj
animadíssimo	animado	adj
animai	animar	ver
animais	animal	nom
animaizinhos	animal	nom
animal	animal	nom
animalesca	animalesco	adj
animalescas	animalesco	adj
animalesco	animalesco	adj
animalescos	animalesco	adj
animalidade	animalidade	nom
animalizada	animalizar	ver
animalização	animalização	nom
animalize	animalizar	ver
animalzinho	animal	nom
animam	animar	ver
animando	animar	ver
animar	animar	ver
animara	animar	ver
animaram	animar	ver
animarem	animar	ver
animaria	animar	ver
animariam	animar	ver
animará	animar	ver
animas	animar	ver
animasse	animar	ver
animassem	animar	ver
animatógrafo	animatógrafo	nom
animava	animar	ver
animavam	animar	ver
animação	animação	nom
animações	animação	nom
anime	animar	ver
animei	animar	ver
animem	animar	ver
animes	animar	ver
animismo	animismo	nom
animista	animista	adj
animistas	animista	adj
animizam	animizar	ver
animizem	animizar	ver
animo	animar	ver
animosa	animoso	adj
animosas	animoso	adj
animosidade	animosidade	nom
animosidades	animosidade	nom
animoso	animoso	adj
animosos	animoso	adj
animou	animar	ver
animália	animália	nom
anina	aninar	ver
anine	aninar	ver
anines	aninar	ver
aninha	aninhar	ver
aninhada	aninhado	adj
aninhadas	aninhado	adj
aninhado	aninhado	adj
aninhados	aninhado	adj
aninham	aninhar	ver
