deica un pouco	deica_un_pouco
de improviso	de_improviso
de inmediato	de_inmediato
de jure	de_jure
de longo	de_longo
de máis	de_máis
de maneira que	de_maneira_que
de menos	de_menos
de moca	de_moca
de modo que	de_modo_que
de momento	de_momento
dende logo	dende_logo
de non ser que	de_non_ser_que
de non ser se	de_non_ser_se
de novo	de_novo
dentro de	dentro_de
de oídas	de_oídas
de o revés	de_o_revés
de o trinque	de_o_trinque
de par de	de_par_de
de par en par	de_par_en_par
de pé	de_pé
de por vida	de_por_vida
de poutelas	de_poutelas
de présa	de_présa
de prestado	de_prestado
de primeiras	de_primeiras
de pronto	de_pronto
de propósito	de_propósito
de puntiñas	de_puntiñas
de querquena	de_querquena
de raíz	de_raíz
de raro en raro	de_raro_en_raro
de recú	de_recú
de reollo	de_reollo
de repente	de_repente
derredor de	derredor_de
desde logo	desde_logo
de seguida	de_seguida
deseguida que	deseguida_que
de seguidiña	de_seguida
de seguido	de_seguido
de sobra	de_sobra
de socate	de_socate
de socato	de_socato
des que	des_que
de súpeto	de_súpeto
de tempo en tempo	de_tempo_en_tempo
de todo	de_todo
de través de	de_través_de
de través	de_través
de vagariño	de_vagar
de vagar	de_vagar
de verdade	de_verdade
de vez en cando	de_vez_en_cando
de xeito que	de_xeito_que
e iso que	e_iso_que
e mais	e_mais
en absoluto	en_absoluto
en balde	en_balde
en baluto	en_baluto
en breve	en_breve
en cambio	en_cambio
en canto a	en_canto_a
en canto	en_canto
en canto que	en_canto_que
en cas de	en_cas_de
encol de	encol_de
en común	en_común
en conciencia	en_conciencia
en concreto	en_concreto
en contra	en_contra
en crequenas	en_crequenas
ende ben	ende_ben
en definitiva	en_definitiva
ende mal	ende_mal
en diante	en_diante
endoutro día	endoutro_día
en efecto	en_efecto
en especial	en_especial
en favor	en_favor
en fin	en_fin
en firme	en_firme
en fite	en_fite
en fronte de	en_fronte_de
en fronte	en_fronte
en función de	en_función_de
en materia de	en_materia_de
en o entanto	en_o_entanto
en o entanto	en_o_entanto
en o momento	en_o_momento
en par de	en_par_de
en parte	en_parte
en particular	en_particular
en pé	en_pé
en por de	en_por_de
en porrancho	en_porrancho
en precario	en_precario
en premier	en_premier
en principio	en_principio
en público	en_público
en punto	en_punto
en querquena	en_querquena
en rama	en_rama
en realidade	en_realidade
en relación a	en_relación_a
en relación con	en_relación_con
en seguida	en_seguida
en seguidiña	en_seguida
en tanto	en_tanto
en tanto que	en_tanto_que
en tempo	en_tempo
en teoría	en_teoría
en todo caso	en_todo_caso
en torno a	en_torno_a
entre lusco e fusco	entre_lusco_e_fusco
entre tanto	entre_tanto
en troques	en_troques
en vango	en_vango
en van	en_van
en verdade	en_verdade
en virtude de	en_virtude_de
en vivo	en_vivo
en xeral	en_xeral
ex aequo	ex_aequo
ex cathedra	ex_cathedra
ex profeso	ex_profeso
extra muros	extra_muros
fite a fite	fite_a_fite
fóra de	fóra_de
frente a	frente_a
fronte a	fronte_a
fronte por fronte	fronte_por_fronte
gracias a	gracias_a
grazas a	grazas_a
grosso modo	grosso_modo
honoris causa	honoris_causa
hoxe en día	hoxe_en_día
hoxe por hoxe	hoxe_por_hoxe
in albis	in_albis
in articulo mortis	in_articulo_mortis
in crescendo	in_crescendo
inda ben non	inda_ben_non
inda que	inda_que
in extremis	in_extremis
in folio	in_folio
in illo tempore	in_illo_tempore
in medias res	in_medias_res
in mente	in_mente
in octavo	in_octavo
in pectore	in_pectore
in quarto	in_quarto
in situ	in_situ
inter nos	inter_nos
intra muros	intra_muros
in vitro	in_vitro
in vivo	in_vivo
ipso facto	ipso_facto
lato sensu	lato_sensu
logo que	logo_que
máis ben	máis_ben
mal como	mal_como
mal que	mal_que
menos mal	menos_mal
mentras que	mentras_que
mentres antes	mentres_antes
mentres que	mentres_que
mentres tanto	mentres_tanto
mentres tanto	mentres_tanto
mesmo que	mesmo_que
motu propio	motu_propio
mutatis mutandis	mutatis_mutandis
nin que	nin_que
nin sequera	nin_sequera
nin siquer	nin_siquer
nin tan sequera	nin_tan_sequera
non embargante	non_embargante
non obstante	non_obstante
nun santiamén	nun_santiamén
onda non	onda_non
onde queira	onde_queira
onde quer	onde_quer
o outro antonte	o_outro_antonte
ora ben	ora_ben
ora que	ora_que
ou ben	ou_ben
ou sexa	ou_sexa
per cápita	per_cápita
per capita	per_capita
per se	per_se
pese a	pese_a
pois ben	pois_ben
pois que	pois_que
por adiantado	por_adiantado
por aí	por_aí
por ante	por_ante
por anticipado	por_anticipado
por canto	por_canto
por causa de	por_causa_de
por cen	por_cen
por cento	por_cento
por certo	por_certo
por conseguinte	por_conseguinte
por contra	por_contra
por cousa de	por_cousa_de
por culpa de	por_culpa_de
por encima	por_encima
por ende	por_ende
por enriba	por_enriba
por enteiro	por_enteiro
por escrito	por_escrito
por fas	por_fas
por fin	por_fin
por fortuna	por_fortuna
por igual	por_igual
por la contra	por_a_contra
por las boas	por_as_boas
por las malas	por_as_malas
por libre	por_libre
por lo baixo	por_o_baixo
por lo contrario	por_o_contrario
por lo menos	por_o_menos
por lo miúdo	por_o_miúdo
por lo momento	por_o_momento
por lo pronto	por_o_pronto
por los zarapelos	por_os_zarapelos
por lo tanto	por_o_tanto
por lo tanto	por_o_tanto
por máis que	por_máis_que
por medio de	por_medio_de
por moito que	por_moito_que
por mor de	por_mor_de
por nefas	por_nefas
por oídas	por_oídas
por pouco que	por_pouco_que
por riba	por_riba
por separado	por_separado
por suposto	por_suposto
por tanto	por_tanto
por tanto	por_tanto
por un tris	por_un_tris
por veces	por_veces
post meridiem	post_meridiem
posto que	posto_que
pouco a pouco	pouco_a_pouco
pouco e pouco	pouco_e_pouco
pouquiño a pouco	pouco_a_pouco
pro rata	pro_rata
respecto a	respecto_a
respecto de	respecto_de
se ben	se_ben
se cadra	se_cadra
se callar	se_callar
sempre e cando	sempre_e_cando
sempre que	sempre_que
sen dúbida	sen_dúbida
sen embargo	sen_embargo
senón que	senón_que
si ben	si_ben
sine die	sine_die
sine qua non	sine_qua_non
sobre de	sobre_de
só que	só_que
stricto sensu	stricto_sensu
strictu sensu	strictu_sensu
sub iudice	sub_iudice
sui generis	sui_generis
tal cal	tal_cal
tal vez	tal_vez
tan presto	tan_presto
tan pronto	tan_pronto
tras de	tras_de
unha vez	unha_vez
unha vez	unha_vez
unha vez que	unha_vez_que
urbi et orbi	urbi_et_orbi
verbi gratia	verbi_gratia
verbo de	verbo_de
visto que	visto_que
xa que	xa_que
xa que logo	xa_que_logo
xunto a	xunto_a
xunto con	xunto_con
xunto de	xunto_de
